cnae,id,descricao,divisao,status,anexos,fatorR,motivo,origem
3091-1/02,3091102,Fabricação de peças e acessórios para motocicletas,30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3092-0/00,3092000,"Fabricação de bicicletas e triciclos não motorizados, peças e acessórios",30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3099-7/00,3099700,Fabricação de equipamentos de transporte não especificados anteriormente,30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3101-2/00,3101200,Fabricação de móveis com predominância de madeira,31,OPTANTE,II,NAO,Indústria — Anexo II,regra
3102-1/00,3102100,Fabricação de móveis com predominância de metal,31,OPTANTE,II,NAO,Indústria — Anexo II,regra
3103-9/00,3103900,"Fabricação de móveis de outros materiais, exceto madeira e metal",31,OPTANTE,II,NAO,Indústria — Anexo II,regra
3104-7/00,3104700,Fabricação de colchões,31,OPTANTE,II,NAO,Indústria — Anexo II,regra
3211-6/01,3211601,Lapidação de gemas,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3211-6/02,3211602,Fabricação de artefatos de joalheria e ourivesaria,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3211-6/03,3211603,Cunhagem de moedas e medalhas,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3212-4/00,3212400,Fabricação de bijuterias e artefatos semelhantes,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3220-5/00,3220500,"Fabricação de instrumentos musicais, peças e acessórios",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3230-2/00,3230200,Fabricação de artefatos para pesca e esporte,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3240-0/01,3240001,Fabricação de jogos eletrônicos,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3240-0/02,3240002,"Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3240-0/03,3240003,"Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3240-0/99,3240099,Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3250-7/01,3250701,"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3250-7/02,3250702,"Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3250-7/03,3250703,Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3250-7/04,3250704,"Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3250-7/05,3250705,Fabricação de materiais para medicina e odontologia,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3250-7/06,3250706,Serviços de prótese dentária,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3250-7/07,3250707,Fabricação de artigos ópticos,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3250-7/09,3250709,Serviço de laboratório óptico,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3291-4/00,3291400,"Fabricação de escovas, pincéis e vassouras",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3292-2/01,3292201,Fabricação de roupas de proteção e segurança e resistentes a fogo,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3292-2/02,3292202,Fabricação de equipamentos e acessórios para segurança pessoal e profissional,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3299-0/01,3299001,Fabricação de guarda-chuvas e similares,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3299-0/02,3299002,"Fabricação de canetas, lápis e outros artigos para escritório",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3299-0/03,3299003,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3299-0/04,3299004,Fabricação de painéis e letreiros luminosos,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3299-0/05,3299005,Fabricação de aviamentos para costura,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3299-0/06,3299006,"Fabricação de velas, inclusive decorativas",32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3299-0/99,3299099,Fabricação de produtos diversos não especificados anteriormente,32,OPTANTE,II,NAO,Indústria — Anexo II,regra
3311-2/00,3311200,"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3312-1/02,3312102,"Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3312-1/03,3312103,Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3312-1/04,3312104,Manutenção e reparação de equipamentos e instrumentos ópticos,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3313-9/01,3313901,"Manutenção e reparação de geradores, transformadores e motores elétricos",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3313-9/02,3313902,"Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3313-9/99,3313999,"Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/01,3314701,Manutenção e reparação de máquinas motrizes não elétricas,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/02,3314702,"Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/03,3314703,Manutenção e reparação de válvulas industriais,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/04,3314704,Manutenção e reparação de compressores,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/05,3314705,Manutenção e reparação de equipamentos de transmissão para fins industriais,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/06,3314706,"Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/07,3314707,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/08,3314708,"Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/09,3314709,"Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não eletrônicos para escritório",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/10,3314710,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/11,3314711,Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/12,3314712,Manutenção e reparação de tratores agrícolas,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/13,3314713,Manutenção e reparação de máquinas-ferramenta,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/14,3314714,Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/15,3314715,"Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/16,3314716,"Manutenção e reparação de tratores, exceto agrícolas",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/17,3314717,"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/18,3314718,"Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/19,3314719,"Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/20,3314720,"Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/21,3314721,"Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/22,3314722,Manutenção e reparação de máquinas e aparelhos para a indústria do plástico,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3314-7/99,3314799,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3315-5/00,3315500,Manutenção e reparação de veículos ferroviários,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3316-3/01,3316301,"Manutenção e reparação de aeronaves, exceto a manutenção na pista",33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3316-3/02,3316302,Manutenção de aeronaves na pista,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3317-1/01,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3317-1/02,3317102,Manutenção e reparação de embarcações para esporte e lazer,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3319-8/00,3319800,Manutenção e reparação de equipamentos e produtos não especificados anteriormente,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3321-0/00,3321000,Instalação de máquinas e equipamentos industriais,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
3329-5/01,3329501,Serviços de montagem de móveis de qualquer material,33,OPTANTE,II,NAO,Indústria — Anexo II,regra
